index,stock_id,year,file_path,mda_sentence,audit_sentence,mda_score,audit_score
600074/2017,600074,2017,clean1\上证A股ST公司\600074\ST保千里2017年年度报告.pdf.txt_total.md,105,16,-0.309959723,-0.45927521
600074/2015,600074,2015,clean1\上证A股ST公司\600074\保千里2015年报.pdf.txt_total.md,89,12,0.445874972,-0.05882089
600074/2016,600074,2016,clean1\上证A股ST公司\600074\保千里2016年年度报告.pdf.txt_total.md,167,12,0.458557925,-0.05882089
600074/2012,600074,2012,clean1\上证A股ST公司\600074\江苏中达新材料集团股份有限公司2012年年度报告.pdf.txt_total.md,40,22,-0.008413274,-0.344586451
600074/2013,600074,2013,clean1\上证A股ST公司\600074\江苏中达新材料集团股份有限公司2013年年度报告.pdf.txt_total.md,30,12,-0.10223674,-0.058991894
600074/2014,600074,2014,clean1\上证A股ST公司\600074\江苏中达新材料集团股份有限公司2014年报（修订版）.pdf.txt_total.md,24,12,-0.017865126,-0.05860949
600091/2016,600091,2016,clean1\上证A股ST公司\600091\ST明科2016年年度报告.pdf.txt_total.md,12,14,0.281837092,-0.131499824
600091/2017,600091,2017,clean1\上证A股ST公司\600091\ST明科2017年年度报告.pdf.txt_total.md,14,60,0.178970311,-0.134907958
600091/2018,600091,2018,clean1\上证A股ST公司\600091\ST明科2018年年度报告.pdf.txt_total.md,17,41,0.258771435,-0.080836933
600091/2015,600091,2015,clean1\上证A股ST公司\600091\_ST明科2015年年报.pdf.txt_total.md,15,14,0.292188463,-0.131499824
600091/2012,600091,2012,clean1\上证A股ST公司\600091\包头明天科技股份有限公司2012年年度报告.pdf.txt_total.md,5,16,0.291417651,-0.168409584
600091/2013,600091,2013,clean1\上证A股ST公司\600091\包头明天科技股份有限公司2013年年度报告.pdf.txt_total.md,7,16,-0.177348154,-0.159079137
600091/2014,600091,2014,clean1\上证A股ST公司\600091\包头明天科技股份有限公司2014年年报.pdf.txt_total.md,7,14,-0.30458077,-0.131499799
600145/2015,600145,2015,clean1\上证A股ST公司\600145\_ST新亿2015年年度报告（修订版）.pdf.txt_total.md,43,21,-0.168647555,-0.383544944
600145/2016,600145,2016,clean1\上证A股ST公司\600145\_ST新亿2016年年度报告（修订版）.pdf.txt_total.md,9,24,-0.078242032,-0.417178912
600145/2017,600145,2017,clean1\上证A股ST公司\600145\_ST新亿2017年年度报告.pdf.txt_total.md,7,54,0.027733442,-0.277091398
600145/2018,600145,2018,clean1\上证A股ST公司\600145\_ST新亿2018年年度报告.pdf.txt_total.md,5,0,0.29684047,
600145/2012,600145,2012,clean1\上证A股ST公司\600145\贵州国创能源控股(集团)股份有限公司2012年年度报告.pdf.txt_total.md,41,11,-0.146780483,-0.063614723
600145/2013,600145,2013,clean1\上证A股ST公司\600145\贵州国创能源控股(集团)股份有限公司2013年年度报告.pdf.txt_total.md,21,12,-0.240702554,-0.56660667
600145/2014,600145,2014,clean1\上证A股ST公司\600145\贵州国创能源控股(集团)股份有限公司2014年报.pdf.txt_total.md,22,20,-0.153381029,-0.30553207
600149/2018,600149,2018,clean1\上证A股ST公司\600149\ST坊展2018年年度报告.pdf.txt_total.md,38,43,0.489915242,-0.064041424
600149/2017,600149,2017,clean1\上证A股ST公司\600149\_ST坊展2017年年度报告.pdf.txt_total.md,22,44,0.433274414,-0.105671212
600149/2015,600149,2015,clean1\上证A股ST公司\600149\廊坊发展2015年报.pdf.txt_total.md,17,14,0.301225865,0.020643282
600149/2016,600149,2016,clean1\上证A股ST公司\600149\廊坊发展2016年年度报告.pdf.txt_total.md,24,14,0.217602214,-0.202269221
600149/2012,600149,2012,clean1\上证A股ST公司\600149\廊坊发展股份有限公司2012年年度报告.pdf.txt_total.md,22,11,-0.209649221,-0.063431802
600149/2013,600149,2013,clean1\上证A股ST公司\600149\廊坊发展股份有限公司2013年年度报告.pdf.txt_total.md,13,11,0.068418582,-0.06370903
600149/2014,600149,2014,clean1\上证A股ST公司\600149\廊坊发展股份有限公司2014年报.pdf.txt_total.md,15,11,0.370441483,0.083191453
600150/2018,600150,2018,clean1\上证A股ST公司\600150\_ST船舶2018年年度报告.pdf.txt_total.md,147,47,0.215216521,-0.099045187
600150/2015,600150,2015,clean1\上证A股ST公司\600150\中国船舶2015年报.pdf.txt_total.md,112,3,0.203272663,5.24E-05
600150/2016,600150,2016,clean1\上证A股ST公司\600150\中国船舶2016年年度报告.pdf.txt_total.md,124,11,0.135621698,-0.063614832
600150/2017,600150,2017,clean1\上证A股ST公司\600150\中国船舶2017年年度报告.pdf.txt_total.md,123,43,0.154206631,-0.106308476
600150/2012,600150,2012,clean1\上证A股ST公司\600150\中国船舶工业股份有限公司2012年年度报告.pdf.txt_total.md,64,0,0.054699707,
600150/2013,600150,2013,clean1\上证A股ST公司\600150\中国船舶工业股份有限公司2013年年度报告.pdf.txt_total.md,48,0,0.087786342,
600150/2014,600150,2014,clean1\上证A股ST公司\600150\中国船舶工业股份有限公司2014年报.pdf.txt_total.md,80,11,0.244159235,-0.063614832
600193/2018,600193,2018,clean1\上证A股ST公司\600193\_ST创兴2018年年度报告.pdf.txt_total.md,22,239,0.310401018,-0.136097084
600193/2012,600193,2012,clean1\上证A股ST公司\600193\上海创兴资源开发股份有限公司2012年年度报告.pdf.txt_total.md,54,11,-0.047975431,-0.06362671
600193/2013,600193,2013,clean1\上证A股ST公司\600193\上海创兴资源开发股份有限公司2013年年度报告.pdf.txt_total.md,37,0,-0.046544418,
600193/2014,600193,2014,clean1\上证A股ST公司\600193\上海创兴资源开发股份有限公司2014年报.pdf.txt_total.md,37,14,-0.359633637,-0.134169042
600193/2015,600193,2015,clean1\上证A股ST公司\600193\创兴资源2015年报.pdf.txt_total.md,28,11,-0.039147972,-0.063441837
600193/2016,600193,2016,clean1\上证A股ST公司\600193\创兴资源2016年年度报告.pdf.txt_total.md,18,11,0.118409811,-0.063441837
600193/2017,600193,2017,clean1\上证A股ST公司\600193\创兴资源2017年年度报告.pdf.txt_total.md,21,46,0.096288605,-0.157148705
600198/2015,600198,2015,clean1\上证A股ST公司\600198\大唐电信2015年年度报告.pdf.txt_total.md,64,12,0.339288191,-0.058820915
600198/2016,600198,2016,clean1\上证A股ST公司\600198\大唐电信2016年年度报告.pdf.txt_total.md,76,12,0.208140627,-0.058820915
600198/2017,600198,2017,clean1\上证A股ST公司\600198\大唐电信2017年年度报告.pdf.txt_total.md,63,60,-0.050073266,-0.113196505
600198/2012,600198,2012,clean1\上证A股ST公司\600198\大唐电信科技股份有限公司2012年年度报告.pdf.txt_total.md,51,12,0.58755278,-0.058991939
600198/2013,600198,2013,clean1\上证A股ST公司\600198\大唐电信科技股份有限公司2013年年度报告.pdf.txt_total.md,49,0,0.437713316,
600198/2014,600198,2014,clean1\上证A股ST公司\600198\大唐电信科技股份有限公司2014年报.pdf.txt_total.md,51,12,0.379785309,-0.058820915
600202/2018,600202,2018,clean1\上证A股ST公司\600202\_ST哈空2018年年度报告.pdf.txt_total.md,45,49,0.040912095,-0.066527155
600202/2012,600202,2012,clean1\上证A股ST公司\600202\哈尔滨空调股份有限公司2012年年度报告.pdf.txt_total.md,33,11,0.131572153,-0.06347194
600202/2013,600202,2013,clean1\上证A股ST公司\600202\哈尔滨空调股份有限公司2013年年度报告.pdf.txt_total.md,32,11,-0.042698053,-0.06347194
600202/2014,600202,2014,clean1\上证A股ST公司\600202\哈尔滨空调股份有限公司2014年报.pdf.txt_total.md,33,11,0.229792948,-0.063485388
600202/2015,600202,2015,clean1\上证A股ST公司\600202\哈空调2015年报.pdf.txt_total.md,31,11,-0.086709506,-0.063485388
600202/2016,600202,2016,clean1\上证A股ST公司\600202\哈空调2016年年度报告.pdf.txt_total.md,33,12,-0.022869257,-0.058943638
600202/2017,600202,2017,clean1\上证A股ST公司\600202\哈空调2017年年度报告.pdf.txt_total.md,40,48,0.155004861,-0.06388851
600209/2018,600209,2018,clean1\上证A股ST公司\600209\_ST罗顿2018年年度报告.pdf.txt_total.md,84,37,0.191109671,0.002048017
600209/2015,600209,2015,clean1\上证A股ST公司\600209\罗顿发展2015年报.pdf.txt_total.md,58,11,0.088319715,-0.063428642
600209/2016,600209,2016,clean1\上证A股ST公司\600209\罗顿发展2016年年度报告.pdf.txt_total.md,65,11,0.241313824,-0.063428642
600209/2017,600209,2017,clean1\上证A股ST公司\600209\罗顿发展2017年年度报告.pdf.txt_total.md,57,31,0.113335107,0.005212296
600209/2012,600209,2012,clean1\上证A股ST公司\600209\罗顿发展股份有限公司2012年年度报告.pdf.txt_total.md,46,11,0.2109019,-0.063563711
600209/2013,600209,2013,clean1\上证A股ST公司\600209\罗顿发展股份有限公司2013年年度报告.pdf.txt_total.md,45,11,0.202191718,-0.06361387
600209/2014,600209,2014,clean1\上证A股ST公司\600209\罗顿发展股份有限公司2014年报.pdf.txt_total.md,50,11,0.222928135,-0.063428642
600228/2018,600228,2018,clean1\上证A股ST公司\600228\ST昌九2018年年度报告（修订版）.pdf.txt_total.md,53,47,0.363384374,-0.098537759
600228/2017,600228,2017,clean1\上证A股ST公司\600228\_ST昌九2017年年度报告.pdf.txt_total.md,36,56,0.163884865,-0.110349916
600228/2015,600228,2015,clean1\上证A股ST公司\600228\昌九生化2015年报.pdf.txt_total.md,31,14,-0.023540917,-0.202775955
600228/2016,600228,2016,clean1\上证A股ST公司\600228\昌九生化2016年年度报告.pdf.txt_total.md,14,14,-0.373949367,-0.202788261
600228/2012,600228,2012,clean1\上证A股ST公司\600228\江西昌九生物化工股份有限公司2012年年度报告.pdf.txt_total.md,24,14,0.034174343,-0.202390776
600228/2013,600228,2013,clean1\上证A股ST公司\600228\江西昌九生物化工股份有限公司2013年年度报告.pdf.txt_total.md,33,15,0.370223415,-0.240279471
600228/2014,600228,2014,clean1\上证A股ST公司\600228\江西昌九生物化工股份有限公司2014年报.pdf.txt_total.md,32,14,0.353337481,-0.202776134
600234/2017,600234,2017,clean1\上证A股ST公司\600234\ST山水2017年年度报告（修订版）.pdf.txt_total.md,9,54,-0.190779947,-0.158199874
600234/2018,600234,2018,clean1\上证A股ST公司\600234\ST山水2018年年度报告.pdf.txt_total.md,14,54,0.147393654,-0.110499114
600234/2016,600234,2016,clean1\上证A股ST公司\600234\_ST山水2016年年度报告.pdf.txt_total.md,23,15,0.132858897,-0.18939867
600234/2012,600234,2012,clean1\上证A股ST公司\600234\太原天龙集团股份有限公司2012年年度报告.pdf.txt_total.md,17,0,0.067185752,
600234/2015,600234,2015,clean1\上证A股ST公司\600234\山水文化2015年年度报告.pdf.txt_total.md,22,17,-0.151101157,-0.329388277
600234/2013,600234,2013,clean1\上证A股ST公司\600234\山西广和山水文化传播股份有限公司2013年年度报告.pdf.txt_total.md,74,0,-0.02949176,
600238/2017,600238,2017,clean1\上证A股ST公司\600238\_ST椰岛2017年年度报告（更新后）.pdf.txt_total.md,81,43,0.35401374,-0.130262824
600238/2018,600238,2018,clean1\上证A股ST公司\600238\_ST椰岛2018年年度报告.pdf.txt_total.md,90,38,0.36730753,-0.091412578
600238/2012,600238,2012,clean1\上证A股ST公司\600238\海南椰岛(集团)股份有限公司2012年年度报告.pdf.txt_total.md,47,11,0.409053815,-0.063588258
600238/2013,600238,2013,clean1\上证A股ST公司\600238\海南椰岛(集团)股份有限公司2013年年度报告.pdf.txt_total.md,90,38,0.36730753,-0.091412578
600238/2014,600238,2014,clean1\上证A股ST公司\600238\海南椰岛(集团)股份有限公司2014年报.pdf.txt_total.md,33,11,0.127960434,-0.06340303
600238/2015,600238,2015,clean1\上证A股ST公司\600238\海南椰岛2015年报.pdf.txt_total.md,48,11,0.205318726,-0.06340605
600238/2016,600238,2016,clean1\上证A股ST公司\600238\海南椰岛2016年年度报告.pdf.txt_total.md,61,11,0.311071047,-0.06340605
600247/2016,600247,2016,clean1\上证A股ST公司\600247\ST成城2016年年度报告（修订版）.pdf.txt_total.md,21,21,-0.198919598,-0.358392799
600247/2018,600247,2018,clean1\上证A股ST公司\600247\ST成城2018年年度报告（修订版）.pdf.txt_total.md,11,72,-0.015380306,-0.263512867
600247/2015,600247,2015,clean1\上证A股ST公司\600247\_ST成城2015年年度报告.pdf.txt_total.md,25,19,-0.043902192,-0.318305812
